product_sku,product_name,product_description,product_cost_price,product_retail_price,product_condition,product_type,product_brand,product_tags,date_created_at,date_discontinued_at,is_active
CANI999,Rycote 55410 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
CO2J111,Rycote 41127 Invision Video Hotshoe ,Invision Video Hotshoe,0,50,New,CAMCORDER,MSCS,CAMACC,2015-05-10,1900-01-01,True
CO8211,Rycote 41126 Invision Video Hotshoe ,Invision Video Hotshoe,0,50,New,CAMCORDER,TOSHIBA,CAMACC,2015-05-10,1900-01-01,True
JV2222,Rycote 37705 Portable Recorder Suspension ,Portable Recorder Suspension,0,60,New,CAMCORDER,JVC,CAMACC,2015-05-10,1900-01-01,True
JV66622,Rycote 55412 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
JVRRRR2,Rycote 55314 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
MS7771,Rycote 41118 Portable Recorder Suspension ,Portable Recorder Suspension,0,60,New,CAMCORDER,MSCS,CAMACC,2015-05-10,1900-01-01,True
SAMrr22,Rycote 55430 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
SEN222,Hoya 37S-HOY 37MM SKYLIGHT FILTER Hoya ,37MM SKYLIGHT FILTER Hoya,0,20,New,IMAGING,SENNHEISER,Discontinued- FILTERS,2015-05-10,1900-01-01,True
SEN23322,Manfrotto MN1004BAC Master Light Stand ,Master Light Stand,58,115,Display,ACCESSORY,SENNHEISER,TRIPODS,2015-05-10,1900-01-01,True
SO6677,Manfrotto MT057C3 Carbon Fibre 3 Section Geared ,Carbon Fibre 3 Section Geared,299,585,Display,ACCESSORY,SONY,TRIPODS,2015-05-10,1900-01-01,True
SO777W,Rycote 55438 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
SO9999,Hoya Revo 52mm SMC UV Filter ,Hoya Revo 52mm SMC UV Filter,20,50,New,IMAGING,Hoya,FILTERS,2015-05-10,1900-01-01,True
SOl2211,Verbatim 43441 Light Scribe CD spindle ,Light Scribe CD spindle,0,8,New,ACCESSORY,MSCS,Discontinued- RECMEDIA,2015-05-10,1900-01-01,True
SOL2222,Rycote 41128 Invision Video Hotshoe ,Invision Video Hotshoe,0,50,New,CAMCORDER,MSCS,CAMACC,2015-05-10,1900-01-01,True
SOY992,Rycote 55439 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
SUM33444,Rycote 55384 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
TO2333,Rycote 55417 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
TOHDCC,Rycote 55409 Full Windshield Kit ,Full Windshield Kit,0,430,New,ACCESSORY,Rycote,MICROPHONE,2015-05-10,1900-01-01,True
TOMCC,Hoya 46mm Slim PL-CIR (Circular Polarising) Filter,HOYA 46mm CP Filter - Slim,19,35,New,IMAGING,Hoya,FILTERS,2015-05-10,1900-01-01,True
TOW222,HOYA 40.5mm CP Filter - Slim ,HOYA 40.5mm CP Filter - Slim,17,35,New,IMAGING,TOSHIBA,FILTERS,2015-05-10,1900-01-01,True
