po_received_key,purchase_order_code,destination_outlet,ordered_qty,received_qty,sent_date_key,received_date_key,product_sku,supplier_key
1,PM0811COMPUB,ABC Warehouse,1,1,20161108,20161117,CO2J111,6
2,PM1611COMPUBA02,ABC Warehouse,1,1,20161116,20161117,CO8211,10
3,SA071116 SOLOCO ,ABC Warehouse,4,0,20161107,20161118,SOL2222,6
4,SA071116 SOLOCO ,ABC Warehouse,1,1,20161107,20161118,SOl2211,6
5,SA1406,ABC Warehouse,1,1,20161116,20161116,MS7771,6
6,SA311016 JVC PRO,ABC Warehouse,6,6,20161031,20161106,JV2222,5
7,SA311016 SENNHEISER PRO,ABC Warehouse,5,5,20161031,20161106,SEN222,8
8,SA311016 SENNHEISER PRO,ABC Warehouse,4,4,20161031,20161106,SEN23322,8
9,SA311016 SONY PRO,ABC Warehouse,2,0,20161031,20161106,SO6677,9
10,SA311016 TOSHIBA PRO,ABC Warehouse,2,0,20161031,20161106,TOW222,10
