po_sent_key,purchase_order_code,ordered_qty,sent_date_key,product_sku,supplier_key
1,SA301015 CANON CS PO 1,1,20151030,CANI999,1
2,SA301015 JVC CS PO 1,1,20151030,JV66622,5
3,SA301015 JVC CS PO 1,1,20151030,JVRRRR2,5
4,SA301015 SAMSUNG CS PO 1,1,20151030,SAMrr22,7
5,SA301015 SONY CS PO 1,1,20151030,SO777W,9
6,SA301015 SONY CS PO 1,2,20151030,SOY992,9
7,SA301015 SONY PO 1,2,20151030,SO9999,9
8,SA301015 SUMSUNG CS PO 1,1,20151030,SUM33444,7
9,SA301015 TOSHIBA CS PO 1,1,20151030,TOHDCC,10
10,SA301015 TOSHIBA CS PO 1,3,20151030,TOMCC,10
11,SA301015 TOSHIBA CS PO 1,5,20151030,TO2333,10
