stock_level_key,stock_level,cost_price,retail_price,date_key,product_sku
1,3,.00,429.99,20150510,CANI999
2,2,.00,429.99,20150510,CANI999
3,4,.00,429.99,20150510,CANI999
4,3,.00,49.99,20150510,CO2J111
5,3,.00,49.99,20150510,CO2J111
6,3,.00,49.99,20150510,CO2J111
7,8,.00,49.99,20150510,CO8211
8,8,.00,49.99,20150510,CO8211
9,8,.00,49.99,20150510,CO8211
10,6,.00,59.99,20150510,JV2222
11,4,.00,59.99,20150510,JV2222
12,4,.00,59.99,20150510,JV2222
13,10,.00,429.99,20150510,JV66622
14,10,.00,429.99,20150510,JV66622
15,5,.00,429.99,20150510,JV66622
16,2,.00,429.99,20150510,JVRRRR2
17,2,.00,429.99,20150510,JVRRRR2
18,2,.00,429.99,20150510,JVRRRR2
19,1,.00,59.99,20150510,MS7771
20,1,.00,59.99,20150510,MS7771
21,1,.00,59.99,20150510,MS7771
22,0,.00,429.99,20150510,SAMrr22
23,0,.00,429.99,20150510,SAMrr22
24,2,.00,429.99,20150510,SAMrr22
25,18,.01,19.89,20150510,SEN222
26,13,.01,19.89,20150510,SEN222
27,10,.01,19.89,20150510,SEN222
28,2,57.98,114.99,20150510,SEN23322
29,1,57.98,114.99,20150510,SEN23322
30,0,57.98,114.99,20150510,SEN23322
31,5,298.97,584.99,20150510,SO6677
32,3,298.97,584.99,20150510,SO6677
33,3,298.97,584.99,20150510,SO6677
34,4,.00,429.99,20150510,SO777W
35,2,.00,429.99,20150510,SO777W
36,2,.00,429.99,20150510,SO777W
37,8,20.40,49.99,20150510,SO9999
38,8,20.40,49.99,20150510,SO9999
39,8,20.40,49.99,20150510,SO9999
40,3,.01,7.99,20150510,SOl2211
41,3,.01,7.99,20150510,SOl2211
42,3,.01,7.99,20150510,SOl2211
43,4,.00,49.99,20150510,SOL2222
44,4,.00,49.99,20150510,SOL2222
45,4,.00,49.99,20150510,SOL2222
46,4,.00,429.99,20150510,SOY992
47,4,.00,429.99,20150510,SOY992
48,4,.00,429.99,20150510,SOY992
49,6,.00,429.99,20150510,SUM33444
50,6,.00,429.99,20150510,SUM33444
51,6,.00,429.99,20150510,SUM33444
52,10,.00,429.99,20150510,TO2333
53,10,.00,429.99,20150510,TO2333
54,7,.00,429.99,20150510,TO2333
55,2,.00,429.99,20150510,TOHDCC
56,2,.00,429.99,20150510,TOHDCC
57,2,.00,429.99,20150510,TOHDCC
58,7,18.75,34.99,20150510,TOMCC
59,8,18.75,34.99,20150510,TOMCC
60,5,18.75,34.99,20150510,TOMCC
61,8,17.08,34.99,20150510,TOW222
62,4,17.08,34.99,20150510,TOW222
63,4,17.08,34.99,20150510,TOW222
